DATE,YEAR,MONTH_NAME,MONTHYEAR,SALES,COST_OF_SALES,QUANTITY_SOLD,SALES_PER_UNIT_PRICE,FRACTION_DAILY_GROSS_PROFIT,FRACTION_DAILY_GROSS_PROFIT_PER_UNIT,SALES_TYPE
2014-01-13,2014,Jan,Jan 2014,114883.17380,112186.30870,3369,34.10008127041,0.02347484850,0.023474848499,Regular
2014-01-14,2014,Jan,Jan 2014,80090.80008,78096.76018,2348,34.11022149915,0.02489724036,0.024897240357,Regular
2014-01-15,2014,Jan,Jan 2014,98945.37116,97159.00259,2903,34.08383436445,0.01805408933,0.018054089333,Regular
2014-01-16,2014,Jan,Jan 2014,84904.90171,83350.43316,2491,34.08466547973,0.01830834874,0.018308348737,Regular
2014-01-17,2014,Jan,Jan 2014,135460.61970,132703.33540,3968,34.13826101310,0.02035487735,0.020354877352,Regular
2014-01-18,2014,Jan,Jan 2014,149925.74970,146928.41180,4393,34.12832909174,0.01999214882,0.019992148820,Regular
2014-01-19,2014,Jan,Jan 2014,74297.30718,72782.28432,2176,34.14398307904,0.02039135626,0.020391356262,Regular
2014-01-20,2014,Jan,Jan 2014,83356.42456,81789.13612,2443,34.12051762587,0.01880225128,0.018802251275,Regular
2014-01-21,2014,Jan,Jan 2014,89922.01429,88388.91607,2638,34.08719268006,0.01704919793,0.017049197931,Regular
2014-01-22,2014,Jan,Jan 2014,57806.30278,57157.28254,1704,33.92388660798,0.01122749958,0.011227499577,Regular
2014-01-23,2014,Jan,Jan 2014,63977.75035,62863.98724,1872,34.17614869124,0.01740860071,0.017408600707,Regular
2014-01-24,2014,Jan,Jan 2014,116958.79980,114823.79520,3423,34.16850709904,0.01825433062,0.018254330616,Regular
2014-01-25,2014,Jan,Jan 2014,155272.82480,152636.27660,4544,34.17095616197,0.01698010069,0.016980100693,Regular
2014-01-26,2014,Jan,Jan 2014,82885.21591,81583.16695,2426,34.16538166117,0.01570906157,0.015709061570,Regular
2014-01-27,2014,Jan,Jan 2014,72353.42588,71377.15646,2117,34.17733863014,0.01349306419,0.013493064193,Regular
2014-01-28,2014,Jan,Jan 2014,50415.90376,49769.09824,1476,34.15711636856,0.01282939453,0.012829394531,Regular
2014-01-29,2014,Jan,Jan 2014,67458.30189,66529.44200,1974,34.17340521277,0.01376939330,0.013769393299,Regular
2014-01-30,2014,Jan,Jan 2014,64640.36931,63757.83987,1892,34.16510005814,0.01365291457,0.013652914571,Regular
2014-01-31,2014,Jan,Jan 2014,137693.87350,135609.50760,4030,34.16721426799,0.01513768076,0.015137680762,Regular
2014-02-01,2014,Feb,Feb 2014,181209.12850,178435.71530,5304,34.16461698718,0.01530504132,0.015305041324,Regular
2014-02-02,2014,Feb,Feb 2014,113433.58100,111466.51680,3320,34.16674126506,0.01734110995,0.017341109949,Regular
2014-02-03,2014,Feb,Feb 2014,143192.53340,140505.63470,4191,34.16667463613,0.01876423747,0.018764237466,Regular
2014-02-04,2014,Feb,Feb 2014,130126.64990,128496.28770,3809,34.16294300341,0.01252904152,0.012529041524,Regular
2014-02-05,2014,Feb,Feb 2014,187155.86850,195078.60330,5764,32.46978981610,-0.04233228091,-0.042332280914,Regular
2014-02-06,2014,Feb,Feb 2014,102314.70960,101977.99000,3028,33.78953421400,0.00329101848,0.003291018479,Regular
2014-02-07,2014,Feb,Feb 2014,301553.84260,313529.18770,9284,32.48102570013,-0.03971212901,-0.039712129007,Regular
2014-02-08,2014,Feb,Feb 2014,316073.17750,329754.77950,9737,32.46104318579,-0.04328618489,-0.043286184890,Regular
2014-02-09,2014,Feb,Feb 2014,135178.04260,141530.70870,4163,32.47130497238,-0.04699480757,-0.046994807572,Regular
2014-02-10,2014,Feb,Feb 2014,147727.51620,154828.68460,4552,32.45332078207,-0.04806936841,-0.048069368407,Regular
2014-02-11,2014,Feb,Feb 2014,135498.74640,139824.16160,4172,32.47812713327,-0.03192217873,-0.031922178728,Regular
2014-02-12,2014,Feb,Feb 2014,163432.84520,166893.36890,5037,32.44646519754,-0.02117397942,-0.021173979415,Regular
2014-02-13,2014,Feb,Feb 2014,138291.63330,141027.43450,4259,32.47044688894,-0.01978283960,-0.019782839603,Regular
2014-02-14,2014,Feb,Feb 2014,336901.37170,343519.87550,10381,32.45365299104,-0.01964522663,-0.019645226633,Regular
2014-02-15,2014,Feb,Feb 2014,367729.26820,373973.59330,11332,32.45051784328,-0.01698076721,-0.016980767211,Regular
2014-02-16,2014,Feb,Feb 2014,133913.84140,136797.07740,4127,32.44822907681,-0.02153053015,-0.021530530152,Regular
2014-02-17,2014,Feb,Feb 2014,150800.34700,152887.10640,4649,32.43715788342,-0.01383789521,-0.013837895214,Regular
2014-02-18,2014,Feb,Feb 2014,55591.93034,53463.24421,1627,34.16836529809,0.03829127927,0.038291279273,Regular
2014-02-19,2014,Feb,Feb 2014,106427.19180,107736.44410,3281,32.43742511429,-0.01230185893,-0.012301858932,Regular
2014-02-20,2014,Feb,Feb 2014,78940.55442,75934.39482,2310,34.17340018182,0.03808130842,0.038081308424,Regular
2014-02-21,2014,Feb,Feb 2014,317916.31790,322089.78900,9802,32.43382145481,-0.01312757749,-0.013127577494,Regular
2014-02-22,2014,Feb,Feb 2014,309217.87560,320116.92430,9772,31.64325374540,-0.03524714953,-0.035247149534,Regular
2014-02-23,2014,Feb,Feb 2014,138491.55000,140752.60160,4270,32.43361826698,-0.01632627839,-0.016326278390,Regular
2014-02-24,2014,Feb,Feb 2014,133146.22220,134505.40420,4106,32.42723385290,-0.01020819050,-0.010208190496,Regular
2014-02-25,2014,Feb,Feb 2014,224994.65620,227546.44660,6937,32.43399974052,-0.01134156003,-0.011341560031,Regular
2014-02-26,2014,Feb,Feb 2014,225051.59150,228214.14210,6934,32.45624336602,-0.01405255826,-0.014052558255,Regular
2014-02-27,2014,Feb,Feb 2014,344299.68240,365935.65300,11082,31.06837054683,-0.06284051861,-0.062840518612,Regular
2014-02-28,2014,Feb,Feb 2014,661876.50000,686656.79100,20805,31.81333813987,-0.03743944830,-0.037439448296,Promotion
2014-03-01,2014,Mar,Mar 2014,846678.38820,872081.58500,26410,32.05900750473,-0.03000336037,-0.030003360372,Promotion
2014-03-02,2014,Mar,Mar 2014,478902.30490,495554.44990,15004,31.91830877766,-0.03477148644,-0.034771486438,Promotion
2014-03-03,2014,Mar,Mar 2014,538827.20210,557567.13700,16884,31.91348034234,-0.03477911810,-0.034779118105,Promotion
2014-03-04,2014,Mar,Mar 2014,310346.12130,323325.02990,9789,31.70355718664,-0.04182075338,-0.041820753376,Regular
2014-03-05,2014,Mar,Mar 2014,256390.52220,267308.50710,8079,31.73542792425,-0.04258341848,-0.042583418476,Regular
2014-03-06,2014,Mar,Mar 2014,167803.65980,168135.69000,5072,33.08431778391,-0.00197868271,-0.001978682708,Regular
2014-03-07,2014,Mar,Mar 2014,465318.02150,483774.59670,14551,31.97842220466,-0.03966443238,-0.039664432382,Promotion
2014-03-08,2014,Mar,Mar 2014,520146.74960,541498.95820,16262,31.98541074899,-0.04105035476,-0.041050354763,Promotion
2014-03-09,2014,Mar,Mar 2014,224699.25280,233589.98300,7014,32.03582161392,-0.03956724417,-0.039567244168,Regular
2014-03-10,2014,Mar,Mar 2014,286230.67890,297642.89140,8932,32.04553055307,-0.03987068243,-0.039870682429,Regular
2014-03-11,2014,Mar,Mar 2014,187143.01810,191499.04280,5737,32.62036222765,-0.02327644784,-0.023276447843,Regular
2014-03-12,2014,Mar,Mar 2014,191700.38910,197153.42400,5903,32.47507862104,-0.02844561206,-0.028445612060,Regular
2014-03-13,2014,Mar,Mar 2014,164663.96760,168975.17400,5056,32.56803156646,-0.02618184453,-0.026181844534,Regular
2014-03-14,2014,Mar,Mar 2014,395941.34510,406765.91400,12167,32.54223268678,-0.02733881933,-0.027338819332,Regular
2014-03-15,2014,Mar,Mar 2014,518183.21040,534383.14310,15971,32.44525767954,-0.03126294402,-0.031262944022,Promotion
2014-03-16,2014,Mar,Mar 2014,226617.95490,233191.10460,6968,32.52266861366,-0.02900542326,-0.029005423259,Regular
2014-03-17,2014,Mar,Mar 2014,243707.87190,250794.22130,7494,32.52039923939,-0.02907722818,-0.029077228178,Regular
2014-03-18,2014,Mar,Mar 2014,94849.74380,90571.58892,2707,35.03869368304,0.04510454861,0.045104548611,Regular
2014-03-19,2014,Mar,Mar 2014,92386.78307,88255.84099,2637,35.03480586651,0.04471356121,0.044713561212,Regular
2014-03-20,2014,Mar,Mar 2014,180394.82770,172344.30440,5149,35.03492478151,0.04462724016,0.044627240163,Regular
2014-03-21,2014,Mar,Mar 2014,200939.69240,192019.14430,5735,35.03743546643,0.04439415624,0.044394156244,Regular
2014-03-22,2014,Mar,Mar 2014,172953.92470,165201.30500,4936,35.03928782415,0.04482476887,0.044824768871,Regular
2014-03-23,2014,Mar,Mar 2014,70194.79954,67061.62271,2003,35.04483252122,0.04463545520,0.044635455198,Regular
2014-03-24,2014,Mar,Mar 2014,81378.21463,77703.64633,2323,35.03151727508,0.04515420149,0.045154201486,Regular
2014-03-25,2014,Mar,Mar 2014,130227.01470,127394.28920,3822,34.07300227630,0.02175221099,0.021752210987,Regular
2014-03-26,2014,Mar,Mar 2014,125310.03640,122275.10260,3666,34.18167932351,0.02421939924,0.024219399237,Regular
2014-03-27,2014,Mar,Mar 2014,119452.33960,118186.57500,3543,33.71502670054,0.01059639857,0.010596398566,Regular
2014-03-28,2014,Mar,Mar 2014,276174.76930,271550.89560,8130,33.96983632226,0.01674256382,0.016742563818,Regular
2014-03-29,2014,Mar,Mar 2014,357369.26690,352250.83010,10518,33.97692212398,0.01432254330,0.014322543302,Regular
2014-03-30,2014,Mar,Mar 2014,163865.49030,160525.42690,4791,34.20277401378,0.02038295796,0.020382957961,Regular
2014-03-31,2014,Mar,Mar 2014,190719.61450,187072.59520,5583,34.16077637471,0.01912241334,0.019122413337,Regular
2014-04-01,2014,Apr,Apr 2014,244535.20520,239700.68480,7155,34.17682812020,0.01977024288,0.019770242882,Regular
2014-04-02,2014,Apr,Apr 2014,155620.50380,153366.01880,4575,34.01541066667,0.01448706915,0.014487069152,Regular
2014-04-03,2014,Apr,Apr 2014,136001.97820,134523.06860,3997,34.02601406055,0.01087417712,0.010874177123,Regular
2014-04-04,2014,Apr,Apr 2014,190559.88750,187742.30000,5558,34.28569404462,0.01478583734,0.014785837339,Regular
2014-04-05,2014,Apr,Apr 2014,217110.50250,213540.73420,6320,34.35292761076,0.01644217234,0.016442172345,Regular
2014-04-06,2014,Apr,Apr 2014,119190.10000,116856.31460,3447,34.57792283145,0.01958036280,0.019580362799,Regular
2014-04-07,2014,Apr,Apr 2014,131910.19750,130784.44470,3854,34.22682861962,0.00853423633,0.008534236332,Regular
2014-04-08,2014,Apr,Apr 2014,118921.30770,115305.80520,3394,35.03868818503,0.03040247850,0.030402478495,Regular
2014-04-09,2014,Apr,Apr 2014,124828.28280,121264.70310,3563,35.03460084199,0.02854785486,0.028547854862,Regular
2014-04-10,2014,Apr,Apr 2014,179326.49020,183278.50240,5380,33.33206137546,-0.02203808370,-0.022038083697,Regular
2014-04-11,2014,Apr,Apr 2014,318949.81710,326322.52600,9573,33.31764515826,-0.02311557651,-0.023115576510,Regular
2014-04-12,2014,Apr,Apr 2014,375031.10930,383727.19400,11250,33.33609860444,-0.02318763560,-0.023187635597,Regular
2014-04-13,2014,Apr,Apr 2014,166393.54070,170061.86410,4990,33.34539893788,-0.02204606852,-0.022046068523,Regular
2014-04-14,2014,Apr,Apr 2014,193652.32780,198212.06870,5810,33.33086537005,-0.02354601647,-0.023546016471,Regular
2014-04-15,2014,Apr,Apr 2014,249805.51720,255956.65400,7497,33.32073058557,-0.02462370275,-0.024623702747,Regular
2014-04-16,2014,Apr,Apr 2014,294023.41090,301522.35230,8821,33.33220846843,-0.02550457250,-0.025504572500,Regular
2014-04-17,2014,Apr,Apr 2014,612236.00580,627927.75870,18366,33.33529379288,-0.02563023532,-0.025630235320,Promotion
2014-04-18,2014,Apr,Apr 2014,464815.51790,476692.54370,13940,33.34401132712,-0.02555212841,-0.025552128409,Promotion
2014-04-19,2014,Apr,Apr 2014,360480.94040,369765.61280,10814,33.33465326429,-0.02575634759,-0.025756347589,Regular
2014-04-20,2014,Apr,Apr 2014,114279.57730,117190.82620,3429,33.32737745698,-0.02547479584,-0.025474795837,Regular
2014-04-21,2014,Apr,Apr 2014,161170.82040,165415.08380,4834,33.34108820852,-0.02633394426,-0.026333944255,Regular
2014-04-22,2014,Apr,Apr 2014,182483.14650,187344.73720,5475,33.33025506849,-0.02664131342,-0.026641313421,Regular
2014-04-23,2014,Apr,Apr 2014,109358.41250,106849.89880,3121,35.03954261455,0.02293846118,0.022938461181,Regular
2014-04-24,2014,Apr,Apr 2014,98430.11411,96197.48223,2809,35.04098045924,0.02268240670,0.022682406702,Regular
2014-04-25,2014,Apr,Apr 2014,295741.34700,292327.02830,8537,34.64230373668,0.01154494877,0.011544948769,Regular
2014-04-26,2014,Apr,Apr 2014,285053.97990,281159.58110,8209,34.72456814472,0.01366196957,0.013661969573,Regular
2014-04-27,2014,Apr,Apr 2014,124964.79650,123042.15900,3592,34.78975403675,0.01538543297,0.015385432969,Regular
2014-04-28,2014,Apr,Apr 2014,124175.80840,122516.06570,3576,34.72477863535,0.01336607123,0.013366071229,Regular
2014-04-29,2014,Apr,Apr 2014,131842.57160,130405.26390,3807,34.63161849225,0.01090169649,0.010901696490,Regular
2014-04-30,2014,Apr,Apr 2014,154850.05730,150644.34820,4398,35.20919902228,0.02715988081,0.027159880812,Regular
2014-05-01,2014,May,May 2014,180294.26870,175656.65040,5124,35.18623510929,0.02572249431,0.025722494306,Regular
2014-05-02,2014,May,May 2014,163849.03580,157300.62560,4581,35.76708923816,0.03996611984,0.039966119837,Regular
2014-05-03,2014,May,May 2014,131436.79240,127601.94470,3697,35.55228358128,0.02917636401,0.029176364015,Regular
2014-05-04,2014,May,May 2014,93082.04396,91601.50654,2642,35.23165933384,0.01590572528,0.015905725283,Regular
2014-05-05,2014,May,May 2014,110887.01330,109460.15320,3154,35.15758189601,0.01286769350,0.012867693498,Regular
2014-05-06,2014,May,May 2014,119385.57540,115693.10660,3324,35.91623808664,0.03092893583,0.030928935825,Regular
2014-05-07,2014,May,May 2014,91719.58938,93157.17058,2677,34.26208045573,-0.01567365499,-0.015673654993,Regular
2014-05-08,2014,May,May 2014,96335.44895,93696.21614,2683,35.90586990309,0.02739627872,0.027396278719,Regular
2014-05-09,2014,May,May 2014,303226.29840,325836.94010,9328,32.50710746141,-0.07456688889,-0.074566888886,Regular
2014-05-10,2014,May,May 2014,431695.70920,465253.81570,13306,32.44368774989,-0.07773555721,-0.077735557210,Promotion
2014-05-11,2014,May,May 2014,200407.27710,215907.82490,6173,32.46513479670,-0.07734523429,-0.077345234286,Regular
2014-05-12,2014,May,May 2014,183413.70830,197835.49510,5653,32.44537560587,-0.07862981962,-0.078629819623,Regular
2014-05-13,2014,May,May 2014,146166.60110,157693.18930,4503,32.45982702643,-0.07885924769,-0.078859247689,Regular
2014-05-14,2014,May,May 2014,201120.72760,218098.76190,6253,32.16387775468,-0.08441712847,-0.084417128471,Regular
2014-05-15,2014,May,May 2014,270123.55080,289864.79850,8408,32.12696845861,-0.07308229009,-0.073082290091,Regular
2014-05-16,2014,May,May 2014,415315.38390,441790.76720,12949,32.07316270754,-0.06374765859,-0.063747658590,Promotion
2014-05-17,2014,May,May 2014,498716.99760,526707.37700,15508,32.15869213309,-0.05612477524,-0.056124775243,Promotion
2014-05-18,2014,May,May 2014,166433.17210,174376.63250,5141,32.37369618751,-0.04772762725,-0.047727627250,Regular
2014-05-19,2014,May,May 2014,168520.62940,175540.11550,5194,32.44525017328,-0.04165357158,-0.041653571583,Regular
2014-05-20,2014,May,May 2014,178123.53210,187748.17220,5550,32.09433010811,-0.05403351251,-0.054033512510,Regular
2014-05-21,2014,May,May 2014,194878.80260,204460.66540,6070,32.10523930807,-0.04916831729,-0.049168317293,Regular
2014-05-22,2014,May,May 2014,115475.09690,115011.32260,3421,33.75477839813,0.00401622785,0.004016227849,Regular
2014-05-23,2014,May,May 2014,430521.02450,449274.18630,13384,32.16684283473,-0.04355922413,-0.043559224132,Promotion
2014-05-24,2014,May,May 2014,590642.82570,614245.79410,18356,32.17709880693,-0.03996149174,-0.039961491739,Promotion
2014-05-25,2014,May,May 2014,210764.71800,217364.46300,6500,32.42534123077,-0.03131332921,-0.031313329207,Regular
2014-05-26,2014,May,May 2014,218189.34850,225607.59520,6752,32.31477317832,-0.03399912393,-0.033999123931,Regular
2014-05-27,2014,May,May 2014,226132.46390,234496.51280,7023,32.19884150648,-0.03698738675,-0.036987386754,Regular
2014-05-28,2014,May,May 2014,243720.86800,252929.29470,7579,32.15739121256,-0.03778267645,-0.037782676451,Regular
2014-05-29,2014,May,May 2014,207429.42900,215118.84650,6448,32.16957645782,-0.03707004130,-0.037070041300,Regular
2014-05-30,2014,May,May 2014,503149.43130,521651.08610,15637,32.17685178103,-0.03677168978,-0.036771689778,Promotion
2014-05-31,2014,May,May 2014,603748.78950,626259.38680,18775,32.15705936085,-0.03728470796,-0.037284707964,Promotion
2014-06-01,2014,Jun,Jun 2014,456017.46310,473223.98070,14188,32.14106731745,-0.03773214623,-0.037732146228,Promotion
2014-06-02,2014,Jun,Jun 2014,425845.19600,442155.99120,13256,32.12471303561,-0.03830217026,-0.038302170256,Promotion
2014-06-03,2014,Jun,Jun 2014,328217.77000,340913.59170,10223,32.10581727477,-0.03868109183,-0.038681091825,Regular
2014-06-04,2014,Jun,Jun 2014,286405.99880,296902.67250,8904,32.16599267745,-0.03664962935,-0.036649629351,Regular
2014-06-05,2014,Jun,Jun 2014,184989.88870,192824.89010,5783,31.98856799239,-0.04235367379,-0.042353673788,Regular
2014-06-06,2014,Jun,Jun 2014,288118.30440,300213.55940,9005,31.99536972793,-0.04198016862,-0.041980168616,Regular
2014-06-07,2014,Jun,Jun 2014,391930.87800,407438.91960,12222,32.06765488463,-0.03956830776,-0.039568307757,Regular
2014-06-08,2014,Jun,Jun 2014,193772.58110,201254.71250,6037,32.09749562697,-0.03861295214,-0.038612952140,Regular
2014-06-09,2014,Jun,Jun 2014,214177.98340,220255.21920,6607,32.41682812169,-0.02837469895,-0.028374698947,Regular
2014-06-10,2014,Jun,Jun 2014,188334.52120,195254.78100,5857,32.15545863070,-0.03674451054,-0.036744510544,Regular
2014-06-11,2014,Jun,Jun 2014,174324.99480,180978.60100,5429,32.10996404494,-0.03816782675,-0.038167826752,Regular
2014-06-12,2014,Jun,Jun 2014,200271.56430,207757.70300,6232,32.13600197368,-0.03737993822,-0.037379938216,Regular
2014-06-13,2014,Jun,Jun 2014,468701.63020,486180.54440,14585,32.13586768598,-0.03729219843,-0.037292198434,Promotion
2014-06-14,2014,Jun,Jun 2014,473425.75420,492135.29230,14745,32.10754521533,-0.03951947678,-0.039519476780,Promotion
2014-06-15,2014,Jun,Jun 2014,224232.12140,233554.03220,6991,32.07439871263,-0.04157259335,-0.041572593354,Regular
2014-06-16,2014,Jun,Jun 2014,185606.27500,193340.31540,5788,32.06742829993,-0.04166906749,-0.041669067492,Regular
2014-06-17,2014,Jun,Jun 2014,212687.50940,221403.64500,6632,32.06988983715,-0.04098094723,-0.040980947234,Regular
2014-06-18,2014,Jun,Jun 2014,184259.69240,192057.51080,5752,32.03402162726,-0.04231971897,-0.042319718971,Regular
2014-06-19,2014,Jun,Jun 2014,113735.81620,119544.01980,3578,31.78753946339,-0.05106749830,-0.051067498296,Regular
2014-06-20,2014,Jun,Jun 2014,203165.08300,205350.64310,6119,33.20233420494,-0.01075755769,-0.010757557685,Regular
2014-06-21,2014,Jun,Jun 2014,203345.24460,206918.91260,6161,33.00523366337,-0.01757438689,-0.017574386886,Regular
2014-06-22,2014,Jun,Jun 2014,134944.48900,135372.52700,4015,33.61008443337,-0.00317195614,-0.003171956137,Regular
2014-06-23,2014,Jun,Jun 2014,138298.21020,139206.02690,4133,33.46194294701,-0.00656419703,-0.006564197025,Regular
2014-06-24,2014,Jun,Jun 2014,36692.67986,35299.06424,1047,35.04553950334,0.03798075325,0.037980753254,Regular
2014-06-25,2014,Jun,Jun 2014,56077.54269,53925.25763,1601,35.02657257339,0.03838051663,0.038380516634,Regular
2014-06-26,2014,Jun,Jun 2014,55780.70745,53688.24120,1592,35.03813282035,0.03751236486,0.037512364860,Regular
2014-06-27,2014,Jun,Jun 2014,131721.23830,127302.42710,3759,35.04156379356,0.03354668736,0.033546687361,Regular
2014-06-28,2014,Jun,Jun 2014,146169.07660,141012.32940,4172,35.03573264621,0.03527933076,0.035279330758,Regular
2014-06-29,2014,Jun,Jun 2014,62073.58541,60083.86984,1772,35.03024007336,0.03205414279,0.032054142786,Regular
2014-06-30,2014,Jun,Jun 2014,93619.84699,90294.37609,2672,35.03736788548,0.03552100337,0.035521003366,Regular
2014-07-01,2014,Jul,Jul 2014,180183.03140,173842.92090,5143,35.03461625510,0.03518705647,0.035187056465,Regular
2014-07-02,2014,Jul,Jul 2014,104760.70620,101615.73200,2990,35.03702548495,0.03002055173,0.030020551732,Regular
2014-07-03,2014,Jul,Jul 2014,93450.53368,90927.08966,2667,35.03957018373,0.02700299207,0.027002992071,Regular
2014-07-04,2014,Jul,Jul 2014,98087.55590,95423.27399,2799,35.04378560200,0.02716228257,0.027162282570,Regular
2014-07-05,2014,Jul,Jul 2014,117562.26290,114395.62760,3355,35.04091293592,0.02693581445,0.026935814452,Regular
2014-07-06,2014,Jul,Jul 2014,70153.08097,68252.24221,2002,35.04149898601,0.02709558488,0.027095584880,Regular
2014-07-07,2014,Jul,Jul 2014,68918.41529,66990.88135,1967,35.03732348246,0.02796834390,0.027968343902,Regular
2014-07-08,2014,Jul,Jul 2014,108417.40280,105373.30000,3094,35.04117737557,0.02807762150,0.028077621502,Regular
2014-07-09,2014,Jul,Jul 2014,81802.60821,79496.49424,2335,35.03323692077,0.02819120344,0.028191203440,Regular
2014-07-10,2014,Jul,Jul 2014,103998.55970,101270.97110,2968,35.03994599057,0.02622717668,0.026227176683,Regular
2014-07-11,2014,Jul,Jul 2014,134018.08930,130633.26270,3825,35.03740896732,0.02525649051,0.025256490506,Regular
2014-07-12,2014,Jul,Jul 2014,99277.29950,96688.49781,2833,35.04316960819,0.02607647169,0.026076471691,Regular
2014-07-13,2014,Jul,Jul 2014,49705.23200,48370.30899,1419,35.02835236082,0.02685679065,0.026856790649,Regular
2014-07-14,2014,Jul,Jul 2014,75384.57455,73393.44659,2151,35.04629221292,0.02641293623,0.026412936226,Regular
2014-07-15,2014,Jul,Jul 2014,110288.23420,107437.38100,3148,35.03438189327,0.02584911456,0.025849114556,Regular
2014-07-16,2014,Jul,Jul 2014,156536.68620,164641.35400,4825,32.44283651813,-0.05177487780,-0.051774877805,Regular
2014-07-17,2014,Jul,Jul 2014,80823.05920,78844.86050,2307,35.03383580407,0.02447567216,0.024475672161,Regular
2014-07-18,2014,Jul,Jul 2014,124615.68560,121612.17890,3557,35.03392904133,0.02410215605,0.024102156045,Regular
2014-07-19,2014,Jul,Jul 2014,242758.95050,255779.85450,7485,32.43272551770,-0.05363717372,-0.053637173720,Regular
2014-07-20,2014,Jul,Jul 2014,85078.24369,83020.51413,2428,35.04046280478,0.02418631921,0.024186319213,Regular
2014-07-21,2014,Jul,Jul 2014,86738.06743,84643.27183,2475,35.04568381010,0.02415082169,0.024150821687,Regular
2014-07-22,2014,Jul,Jul 2014,56673.61581,55278.70783,1618,35.02695661928,0.02461300484,0.024613004836,Regular
2014-07-23,2014,Jul,Jul 2014,165742.17050,173725.35750,5106,32.46027624363,-0.04816629935,-0.048166299355,Regular
2014-07-24,2014,Jul,Jul 2014,95618.24880,92416.90384,2729,35.03783393184,0.03348048098,0.033480480977,Regular
2014-07-25,2014,Jul,Jul 2014,515698.79580,538260.27180,15897,32.44000728439,-0.04374932845,-0.043749328453,Promotion
2014-07-26,2014,Jul,Jul 2014,562590.36650,586670.51410,17343,32.43904552269,-0.04280227504,-0.042802275037,Promotion
2014-07-27,2014,Jul,Jul 2014,266305.92590,277238.01040,8207,32.44863237480,-0.04105084956,-0.041050849556,Regular
2014-07-28,2014,Jul,Jul 2014,292634.74570,304508.37900,9018,32.45007160124,-0.04057492651,-0.040574926506,Regular
2014-07-29,2014,Jul,Jul 2014,212360.99310,221017.07310,6548,32.43142839035,-0.04076115803,-0.040761158034,Regular
2014-07-30,2014,Jul,Jul 2014,198019.33210,205903.82490,6102,32.45154573910,-0.03981678312,-0.039816783121,Regular
2014-07-31,2014,Jul,Jul 2014,295508.32730,307222.39540,9108,32.44491955424,-0.03964039933,-0.039640399332,Regular
2014-08-01,2014,Aug,Aug 2014,611894.67320,636341.31590,18867,32.43200684794,-0.03995237052,-0.039952370515,Promotion
2014-08-02,2014,Aug,Aug 2014,628685.21880,653779.96350,19384,32.43320361123,-0.03991623145,-0.039916231445,Promotion
2014-08-03,2014,Aug,Aug 2014,307272.68370,319500.00950,9473,32.43668148422,-0.03979307777,-0.039793077773,Regular
2014-08-04,2014,Aug,Aug 2014,362106.53260,376645.75090,11170,32.41777373321,-0.04015177024,-0.040151770242,Regular
2014-08-05,2014,Aug,Aug 2014,262349.59100,272809.29040,8091,32.42486602398,-0.03986931849,-0.039869318493,Regular
2014-08-06,2014,Aug,Aug 2014,80697.90350,77649.63653,2303,35.04034020842,0.03777380623,0.037773806230,Regular
2014-08-07,2014,Aug,Aug 2014,103272.62270,99367.23322,2947,35.04330597218,0.03781630967,0.037816309666,Regular
2014-08-08,2014,Aug,Aug 2014,439421.42210,456509.62190,13542,32.44878320041,-0.03888795343,-0.038887953433,Promotion
